Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
cluster_PE2	GO:0043679	axon terminus	4/410	130/19559	0.290568840563172	0.46609614016868	0.322091346360036	NTRK2/SLC8A1/SNCG/SYT11	4	NTRK2/SLC8A1/SNCG/SYT11
cluster_PE2	GO:0005775	vacuolar lumen	5/410	173/19559	0.297517341332113	0.475302094079352	0.328453034076531	BGN/ACTR2/FABP5/GPC6/HSPG2	5	BGN/ACTR2/FABP5/GPC6/HSPG2
cluster_PE2	GO:0043083	synaptic cleft	1/410	17/19559	0.302529251592301	0.479411273692639	0.331292643933844	LAMA5	1	LAMA5
cluster_PE2	GO:0060077	inhibitory synapse	1/410	17/19559	0.302529251592301	0.479411273692639	0.331292643933844	SYT11	1	SYT11
cluster_PE2	GO:0031968	organelle outer membrane	6/410	218/19559	0.307793496958258	0.485794555440143	0.335703750645659	CLMN/IFI27/TSPO/AKAP1/SYNE2/BCL2L1	6	CLMN/IFI27/TSPO/AKAP1/SYNE2/BCL2L1
cluster_PE2	GO:0032580	Golgi cisterna membrane	3/410	93/19559	0.309450916690392	0.486456841037296	0.336161416867878	SORT1/ASAP2/GOLIM4	3	SORT1/ASAP2/GOLIM4
cluster_PE2	GO:0019867	outer membrane	6/410	220/19559	0.315130266038902	0.49341113367844	0.34096711527799	CLMN/IFI27/TSPO/AKAP1/SYNE2/BCL2L1	6	CLMN/IFI27/TSPO/AKAP1/SYNE2/BCL2L1
cluster_PE2	GO:0070382	exocytic vesicle	6/410	223/19559	0.326186239412706	0.504943271741202	0.348936290636748	SYTL2/NTF3/APP/BCL2L1/SYNGR2/SYT11	6	SYTL2/NTF3/APP/BCL2L1/SYNGR2/SYT11
cluster_PE2	GO:0034705	potassium channel complex	3/410	96/19559	0.326691787338712	0.504943271741202	0.348936290636748	KCNE4/KCNAB1/KCNMA1	3	KCNE4/KCNAB1/KCNMA1
cluster_PE2	GO:0043202	lysosomal lumen	3/410	96/19559	0.326691787338712	0.504943271741202	0.348936290636748	BGN/GPC6/HSPG2	3	BGN/GPC6/HSPG2
cluster_PE2	GO:0043195	terminal bouton	2/410	56/19559	0.328654343176908	0.504943271741202	0.348936290636748	NTRK2/SYT11	2	NTRK2/SYT11
cluster_PE2	GO:0031362	anchored component of external side of plasma membrane	1/410	19/19559	0.331489476104911	0.504943271741202	0.348936290636748	CD59	1	CD59
cluster_PE2	GO:0032426	stereocilium tip	1/410	19/19559	0.331489476104911	0.504943271741202	0.348936290636748	EPS8	1	EPS8
cluster_PE2	GO:0089717	spanning component of membrane	1/410	19/19559	0.331489476104911	0.504943271741202	0.348936290636748	BMPR2	1	BMPR2
cluster_PE2	GO:1904115	axon cytoplasm	2/410	57/19559	0.336340914198068	0.510355132354598	0.352676105926038	HSPB1/DST	2	HSPB1/DST
cluster_PE2	GO:0031902	late endosome membrane	4/410	140/19559	0.337908627834094	0.510761887456919	0.352957190207273	RHOB/IFITM3/LITAF/SORL1	4	RHOB/IFITM3/LITAF/SORL1
